ID;id_trecho_;vl_br;sg_uf;nm_tipo_tr;sg_tipo_tr;desc_coinc;vl_codigo;ds_local_i;ds_local_f;vl_km_inic;vl_km_fina;vl_extensa;vl_km_i_estim;vl_km_f_estim;vl_ext_estim;ds_sup_fed;ds_obra;ds_coinc;ds_tipo_ad;ds_ato_leg;est_coinc;sup_est_co;ds_jurisdi;ds_superfi;ds_legenda;sg_legenda;leg_multim;versao_snv;id_versao;classificação;GEH;A_C;B_C;C_C;D_C;E_C;F_C;G_C;H_C;I_C;J_C;A_D;B_D;C_D;D_D;E_D;F_D;G_D;H_D;I_D;J_D;VMDa_C;VMDa_D;NS_C;NS_D
4317;155030;307;AC;Eixo Principal;B;-;307BAC0005;ENTR AC-190/378 (MARECHAL TAUMATURGO);ENTR AC-090 (PORTO VALTER);0;80,4;80,4;0,0;80,4;80,4;PLA;;;;;;;FEDERAL-PLA;PLA;Planejada;PLA;Planejada;202001A;52;Planejada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4318;155031;307;AC;Eixo Principal;B;-;307BAC0010;ENTR AC-090 (PORTO VALTER);INÍCIO TRECHO IMPLANTADO;80,4;116;35,6;80,4;116,0;35,6;PLA;;;;;;;FEDERAL-PLA;PLA;Planejada;PLA;Planejada;202001A;52;Planejada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4319;158261;307;AC;Eixo Principal;B;-;307BAC0015;INÍCIO TRECHO IMPLANTADO;ENTR RAMAL 03;116;121,7;5,7;116,0;121,7;5,7;PLA;;;;;;;FEDERAL-PLA;PLA;Planejada;PLA;Planejada;202001A;52;Planejada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4320;158260;307;AC;Eixo Principal;B;-;307BAC0018;ENTR RAMAL 03;INÍCIO TRECHO PAVIMENTADO;121,7;131,2;9,5;121,7;131,2;9,5;PLA;;;;;;;FEDERAL-PLA;PLA;Planejada;PLA;Planejada;202001A;52;Planejada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4321;158259;307;AC;Eixo Principal;B;-;307BAC0020;INÍCIO TRECHO PAVIMENTADO;ENTR BR-364(A);131,2;156,6;25,4;131,2;156,6;25,4;PLA;;;Estadual;;AC-307;PAV;;PLA;Planejada;PLA;Pavimentada;202001A;52;Não Simulável;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4322;158258;307;AC;Eixo Principal;B;-;307BAC0022;ENTR BR-364(A);ENTR BR-364(B) (P/RODRIGUES ALVES);156,6;179;22,4;156,6;179,0;22,4;PAV;;364BAC1810;;;;;FEDERAL-PAV;PAV;Pavimentada;PAV;Pavimentada;202001A;52;-;-;100;62;13;7;16;7;0;4;529;95;108;66;14;7;17;8;0;5;548;99;833;871;A;A
4323;155032;307;AC;Eixo Principal;B;-;307BAC0025;ENTR BR-364(B) (P/RODRIGUES ALVES);INÍCIO PONTE SOBRE O RIO JURUÁ;179;189,5;10,5;179,0;189,5;10,5;PAV;;;;;;;FEDERAL-PAV;PAV;Pavimentada;PAV;Pavimentada;202001A;52;-;-;172;106;22;12;27;12;0;7;625;113;180;111;23;12;29;13;1;8;635;115;1097;1124;A;A
4324;158266;307;AC;Eixo Principal;B;-;307BAC0028;INÍCIO PONTE SOBRE O RIO JURUÁ;FIM PONTE SOBRE O RIO JURUÁ (CRUZEIRO DO SUL);189,5;190,2;0,7;189,5;190,2;0,7;PAV;;;;;;;FEDERAL-PAV;PAV;Pavimentada;PAV;Pavimentada;202001A;52;-;-;172;106;22;12;27;12;0;7;625;113;180;111;23;12;29;13;1;8;635;115;1097;1124;A;A
4325;158265;307;AC;Eixo Principal;B;-;307BAC0030;FIM PONTE SOBRE O RIO JURUÁ (CRUZEIRO DO SUL);ROTATÓRIA DA AV COPACABANA (CRUZEIRO DO SUL);190,2;192,4;2,2;190,2;192,4;2,2;PLA;;;Estadual;;AC-307;PAV;;PLA;Planejada;PLA;Pavimentada;202001A;52;-;-;172;106;22;12;27;12;0;7;625;113;180;111;23;12;29;13;1;8;635;115;1097;1124;A;A
4326;158264;307;AC;Eixo Principal;B;-;307BAC0035;ROTATÓRIA DA AV COPACABANA (CRUZEIRO DO SUL);INÍCIO DE PISTA DUPLA (61º BIS) (CRUZEIRO DO SUL);192,4;193,7;1,3;192,4;193,7;1,3;PLA;;;Estadual;;AC-307;PAV;;PLA;Planejada;PLA;Pavimentada;202001A;52;Não Simulável;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
